GAME_DATE,METRIC_TYPE,METRIC_VALUE,TEAM_ID,TEAM_NAME
2025-10-21,TEAM,0.0,1610612747.0,Los Angeles Lakers
2025-10-21,TEAM,0.0,1610612744.0,Golden State Warriors
2025-10-21,TEAM,1.0,1610612760.0,Oklahoma City Thunder
2025-10-21,TEAM,1.0,1610612745.0,Houston Rockets
2025-10-22,TEAM,0.0,1610612762.0,Utah Jazz
2025-10-22,TEAM,0.0,1610612746.0,LA Clippers
2025-10-22,TEAM,1.0,1610612741.0,Chicago Bulls
2025-10-22,TEAM,1.0,1610612765.0,Detroit Pistons
2025-10-22,TEAM,1.0,1610612763.0,Memphis Grizzlies
2025-10-22,TEAM,1.0,1610612740.0,New Orleans Pelicans
2025-10-22,TEAM,0.0,1610612737.0,Atlanta Hawks
2025-10-22,TEAM,0.0,1610612761.0,Toronto Raptors
2025-10-22,TEAM,0.0,1610612742.0,Dallas Mavericks
2025-10-22,TEAM,0.0,1610612759.0,San Antonio Spurs
2025-10-22,TEAM,0.0,1610612738.0,Boston Celtics
2025-10-22,TEAM,0.0,1610612755.0,Philadelphia 76ers
2025-10-22,TEAM,0.0,1610612766.0,Charlotte Hornets
2025-10-22,TEAM,0.0,1610612751.0,Brooklyn Nets
2025-10-22,TEAM,0.0,1610612757.0,Portland Trail Blazers
2025-10-22,TEAM,0.0,1610612750.0,Minnesota Timberwolves
2025-10-22,TEAM,1.0,1610612753.0,Orlando Magic
2025-10-22,TEAM,1.0,1610612748.0,Miami Heat
2025-10-22,TEAM,0.0,1610612752.0,New York Knicks
2025-10-22,TEAM,0.0,1610612739.0,Cleveland Cavaliers
2025-10-22,TEAM,1.0,1610612749.0,Milwaukee Bucks
2025-10-22,TEAM,1.0,1610612764.0,Washington Wizards
2025-10-22,TEAM,1.0,1610612756.0,Phoenix Suns
2025-10-22,TEAM,1.0,1610612758.0,Sacramento Kings
2025-10-23,TEAM,0.0,1610612744.0,Golden State Warriors
2025-10-23,TEAM,0.0,1610612743.0,Denver Nuggets
2025-10-23,TEAM,0.0,1610612754.0,Indiana Pacers
